,id,project_code,pq_num,po_so_num,asndn_num,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,moleculetest_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,po_sent_to_vendor_date_year,scheduled_delivery_date_year,delivered_to_client_date_year,delivery_recorded_date_year,pq_first_sent_to_client_date_year,moleculetest_type_processed,cluster_labels,active_ingredients,description_type,manufacturing_location,manufacturers,days_init_client_vendor,days_vendor_deliver_planned,days_vendor_deliver_actual,delivery_delay,recorded_date_lag,days_from__arrival,days_from_vendor_arrival
3,15,108-VN-T01,Pre-PQ Process,SCMS-78,ASN-50,Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,150mg,Tablet,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",True,1855.0,16007.06,,,2006,2006,2006,,lamivudine,0,Lamivudine,,"Paonta Sahib, IN",Ranbaxy,,,,0.0,0.0,,
4,16,108-VN-T01,Pre-PQ Process,SCMS-81,ASN-55,Vietnam,PMO - US,Direct Drop,EXW,Air,,,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",True,7590.0,45450.08,,,2006,2006,2006,,stavudine,9,Stavudine,,"Telangana, IN",Aurobindo,,,,0.0,0.0,,
6,44,110-ZM-T01,Pre-PQ Process,SCMS-139,ASN-130,Zambia,PMO - US,Direct Drop,DDU,Air,,,2007-01-08,2007-01-08,2007-01-08,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,135,4374.0,32.4,0.36,MSD South Granville Australia,True,328.0,0.0,,,2007,2007,2007,,efavirenz,2,Efavirenz,,"Granville, AU",MSD,,,,0.0,0.0,,
7,45,109-TZ-T01,Pre-PQ Process,SCMS-140,ASN-94,Tanzania,PMO - US,Direct Drop,EXW,Air,,,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",True,1478.0,6212.41,,,2006,2006,2006,,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,,,,0.0,0.0,,
8,46,112-NG-T01,Pre-PQ Process,SCMS-156,ASN-93,Nigeria,PMO - US,Direct Drop,EXW,Air,,,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",False,1047.0,4861.14,,,2006,2006,2006,,stavudine,9,Stavudine,,"Telangana, IN",Aurobindo,,,,0.0,0.0,,
9,47,110-ZM-T01,Pre-PQ Process,SCMS-165,ASN-199,Zambia,PMO - US,Direct Drop,CIP,Air,,2006-11-13,2007-01-30,2007-01-30,2007-01-30,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,True,643.0,0.0,,2006.0,2007,2007,2007,,lopinavir ritonavir,8,Lopinavir/Ritonavir,,ABBVIE (Abbott) St. P'burg USA,ABBVIE (Abbott) St. P'burg USA,,78.0,78.0,0.0,0.0,,78.0
10,60,110-ZM-T01,Pre-PQ Process,SCMS-221,ASN-223,Zambia,PMO - US,Direct Drop,CIP,Air,,2006-12-01,2007-02-16,2007-02-16,2007-02-16,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,True,643.0,0.0,,2006.0,2007,2007,2007,,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Ludwigshafen, DE",Abbvie,,77.0,77.0,0.0,0.0,,77.0
13,64,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,EXW,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",True,7416.0,64179.42,,2006.0,2007,2007,2007,,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Goa, IN",Cipla,,67.0,67.0,0.0,0.0,,67.0
15,68,113-ZW-T01,Pre-PQ Process,SCMS-308,ASN-285,Zimbabwe,PMO - US,Direct Drop,CIP,Air,,2007-01-10,2007-03-19,2007-03-19,2007-03-19,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,Videx,200mg,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",True,1047.0,0.0,,2007.0,2007,2007,2007,,didanosine,9,Didanosine,,"Meymac, France",Bristol-Myers Squibb,,68.0,68.0,0.0,0.0,,68.0
17,80,107-RW-T01,Pre-PQ Process,SCMS-488,ASN-299,Rwanda,PMO - US,Direct Drop,EXW,Air,,,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O,  HIV 1-2.0, v.3.0 Cards Kit",First Response,,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,True,710.0,3120.7,,,2007,2007,2007,,hiv 1 2 o first response hiv 1 2 0 v 3 0 cards kit,4,HIV 1/2/O,HIV 1-2.0,IN,IN,,,,0.0,0.0,,
